No.,自社タイトル,自社URL,自社公開,スパムチャンネル名,スパムチャンネルURL,スパム公開,スパム再生数,スパムタイトル,スパムURL,タイトル一致率
11,【スカッと】夫を略奪した妹の結婚式で妹「今日から私が社長夫人で〜すw社員は全員パシリよろしく〜w」直後、社員一同が大爆笑w→私（社長は私なんだよな…w）,https://www.youtube.com/watch?v=7msH4kMIKYA,1.5万回視聴 / 1 年前, 読書室【スカッとする話】,https://www.youtube.com/channel/UCjQd7ZVm5BPbGpB_V9B6kgQ,1 年前,1 回視聴,【スカッと】夫を略奪した妹の結婚式で妹「今日から私が社長夫人で〜すw社員は全員パシリよろしく〜w」直後、社員一同が大爆笑w→私（社長は私なんだよな…w）,https://www.youtube.com/watch?v=9zs6le8kFYk,100%
12,【スカッと】私と息子を捨てて私の妹と再婚した夫「邪魔者2人は失せろw」妹「3日以内に出てってねw」息子「母さん良かったね！」私「え？」息子「だってあの人たち…」,https://www.youtube.com/watch?v=Z2pKxDTj5Io,2.4万回視聴 / 1 年前, 読書室【スカッとする話】,https://www.youtube.com/channel/UCjQd7ZVm5BPbGpB_V9B6kgQ,1 年前,0 回視聴,【スカッと】私と息子を捨てて私の妹と再婚した夫「邪魔者2人は失せろw」妹「3日以内に出てってねw」息子「母さん良かったね！」私「え？」息子「だってあの人たち…」,https://www.youtube.com/watch?v=MfZT_x26nhg,100%
13,【スカッと】私の子供が夫の上司と瓜二つ。夫「浮気してたな！離婚だ！」義母「アバズレは今すぐ出てけw」13年後、夫と義母と再会すると二人は半狂乱。だって娘は…,https://www.youtube.com/watch?v=RNWUvpjXeTw,2.2万回視聴 / 1 年前, 読書室【スカッとする話】,https://www.youtube.com/channel/UCjQd7ZVm5BPbGpB_V9B6kgQ,1 年前,2回視聴,【スカッと】私の子供が夫の上司と瓜二つ。夫「浮気してたな！離婚だ！」義母「アバズレは今すぐ出てけw」13年後、夫と義母と再会すると二人は半狂乱。だって娘は…,https://www.youtube.com/watch?v=ykrbCE8A45A,100%
14,【スカッと】義父の訃報を知り夫に連絡。夫「接待中だ！くだらんことで連絡するな」私「はーい、もう二度と連絡しません」（葬式も遺言も秘密にしとこ…）帰宅した夫「ど、どういうことだ！？」,https://www.youtube.com/watch?v=LpVENTyRBTo,1.4万回視聴 / 1 年前, 読書室【スカッとする話】,https://www.youtube.com/channel/UCjQd7ZVm5BPbGpB_V9B6kgQ,1 年前,2回視聴,【スカッと】義父の訃報を知り夫に連絡。夫「接待中だ！くだらんことで連絡するな」私「はーい、もう二度と連絡しません」（葬式も遺言も秘密にしとこ…）帰宅した夫「ど、どういうことだ！？」,https://www.youtube.com/watch?v=7Ae8984Yap8,100%
15,【スカッとする話】11年間、義実家のローンを払ってきた私に夫「この家は妹夫婦に譲ることにしたw」義妹「他人は今すぐ出ていってw」私「じゃあ引越しますね」1ヶ月後、涙を流した夫から大量着信がw,https://www.youtube.com/watch?v=KwIKJhGIKa0,3.9万回視聴 / 1 年前, 読書室【スカッとする話】,https://www.youtube.com/channel/UCjQd7ZVm5BPbGpB_V9B6kgQ,1 年前,0 回視聴,【スカッとする話】11年間、義実家のローンを払ってきた私に夫「この家は妹夫婦に譲ることにしたw」義妹「他人は今すぐ出ていってw」私「じゃあ引越しますね」1ヶ月後、涙を流した夫から大量着信がw,https://www.youtube.com/watch?v=pjYj8LyGdYs,100%
16,【スカッとする話】13億の資産を築いた夫の葬儀後、通帳と印鑑を盗んだ義両親「3000万の家買っちゃったw」それを聞いてお腹を抱えて大爆笑→私「御愁傷さまw」実は...【スカッと】【朗読】,https://www.youtube.com/watch?v=KMhlovvuqDg,2.8万回視聴 / 1 年前, 読書室【スカッとする話】,https://www.youtube.com/channel/UCjQd7ZVm5BPbGpB_V9B6kgQ,1 年前,0 回視聴,【スカッとする話】13億の資産を築いた夫の葬儀後、通帳と印鑑を盗んだ義両親「3000万の家買っちゃったw」それを聞いてお腹を抱えて大爆笑→私「御愁傷さまw」実は   【スカッと】【朗読】,https://www.youtube.com/watch?v=ItiHHN9nAoE,100%
17,【スカッとする話】18年間家賃を払ってきた私を罵倒する長男嫁「月9万の家賃程度で偉そうにw母親づらすんなよババァがw」長男「支払い止めてみろw」私「喜んで！」結果w,https://www.youtube.com/watch?v=gWWRbmvBG_A,3.4万回視聴 / 1 年前, 読書室【スカッとする話】,https://www.youtube.com/channel/UCjQd7ZVm5BPbGpB_V9B6kgQ,1 年前,1 回視聴,【スカッとする話】18年間家賃を払ってきた私を罵倒する長男嫁「月9万の家賃程度で偉そうにw母親づらすんなよババァがw」長男「支払い止めてみろw」私「喜んで！」結果w,https://www.youtube.com/watch?v=MednHh5vpSw,100%
18,【スカッとする話】23歳の愛人と3歳の隠し子を連れお宮参り中の夫と遭遇…私「本命いたのね！お幸せに」夫「違う！これには深い訳が」即離婚届を提出し義両親・親戚・職場に報告→携帯契約し永久に無視した結果w,https://www.youtube.com/watch?v=d_RzRR51F4U,1.9万回視聴 / 1 年前, 読書室【スカッとする話】,https://www.youtube.com/channel/UCjQd7ZVm5BPbGpB_V9B6kgQ,1 年前,0 回視聴,【スカッとする話】23歳の愛人と3歳の隠し子を連れお宮参り中の夫と遭遇…私「本命いたのね！お幸せに」夫「違う！これには深い訳が」即離婚届を提出し義両親・親戚・職場に報告→携帯契約し永久に無視した結果w,https://www.youtube.com/watch?v=pmcRc0q916U,100%
19,【スカッとする話】25年間支え続けた夫が突然の離婚宣言。夫「寄生虫養うの限界だから離婚wガキ連れて生活保護でも受けろw」私「いいの！？扶養減って助かる」夫「え？扶養？」,https://www.youtube.com/watch?v=V4oyDIsTfD4,3.2万回視聴 / 1 年前, 読書室【スカッとする話】,https://www.youtube.com/channel/UCjQd7ZVm5BPbGpB_V9B6kgQ,1 年前,0 回視聴,【スカッとする話】25年間支え続けた夫が突然の離婚宣言。夫「寄生虫養うの限界だから離婚wガキ連れて生活保護でも受けろw」私「いいの！？扶養減って助かる」夫「え？扶養？」,https://www.youtube.com/watch?v=1b7bUCy5gVk,100%
20,【スカッとする話】35年間支え続けた夫から突然の離婚宣言。夫「お前の顔見るのはもう限界！自分の荷物持って出てけ！」私「今までお世話になりました。やっと扶養が減って嬉しいわw」,https://www.youtube.com/watch?v=DvKb1bUts2U,3.8万回視聴 / 1 年前, 読書室【スカッとする話】,https://www.youtube.com/channel/UCjQd7ZVm5BPbGpB_V9B6kgQ,1 年前,0 回視聴,【スカッとする話】35年間支え続けた夫から突然の離婚宣言。夫「お前の顔見るのはもう限界！自分の荷物持って出てけ！」私「今までお世話になりました。やっと扶養が減って嬉しいわw」,https://www.youtube.com/watch?v=ZkrpE-h9SNE,100%
21,【スカッとする話】39歳で他界した娘の葬儀に行くと血相を変えて私の手を引く孫「バァバ、逃げるよ！見て...」そっと渡された香典袋を見た私は慌てて孫と逃げだし…,https://www.youtube.com/watch?v=k5pQ8cxLt5s,4.3万回視聴 / 1 年前, 読書室【スカッとする話】,https://www.youtube.com/channel/UCjQd7ZVm5BPbGpB_V9B6kgQ,1 年前,1 回視聴,【スカッとする話】39歳で他界した娘の葬儀に行くと血相を変えて私の手を引く孫「バァバ、逃げるよ！見て   」そっと渡された香典袋を見た私は慌てて孫と逃げだし…,https://www.youtube.com/watch?v=q9e1WWRRNcw,100%
22,【スカッとする話】40歳で妊娠した私を捨て21歳の浮気相手と再婚した社長の夫「彼女が妊娠したから離婚w」20年後、公園で元夫と再会すると、息子を見た夫が半狂乱になり…w,https://www.youtube.com/watch?v=L3EoOQuimfw,2.4万回視聴 / 1 年前, 読書室【スカッとする話】,https://www.youtube.com/channel/UCjQd7ZVm5BPbGpB_V9B6kgQ,1 年前,2回視聴,【スカッとする話】40歳で妊娠した私を捨て21歳の浮気相手と再婚した社長の夫「彼女が妊娠したから離婚w」20年後、公園で元夫と再会すると、息子を見た夫が半狂乱になり…w,https://www.youtube.com/watch?v=EBiY08XxCU8,100%
23,【スカッとする話】40歳独身の私に毎月お金を振り込む姉が結婚すると結婚挨拶で私を見下す新郎「姉に養われてる恥知らずな義妹がw」姉「え？妹は⚪︎⚪︎だよ？」,https://www.youtube.com/watch?v=xYAv3CvMZyc,6.1万回視聴 / 1 年前, 読書室【スカッとする話】,https://www.youtube.com/channel/UCjQd7ZVm5BPbGpB_V9B6kgQ,1 年前,2回視聴,【スカッとする話】40歳独身の私に毎月お金を振り込む姉が結婚すると結婚挨拶で私を見下す新郎「姉に養われてる恥知らずな義妹がw」姉「え？妹は⚪︎⚪︎だよ？」,https://www.youtube.com/watch?v=XrgSNXuB9wc,100%
24,【スカッとする話】5年間、アメリカに単身赴任だった夫が金髪の愛人と隠し子を連れ帰宅...夫「新しい家族できたから離婚でw」息子「え？パパ何も知らないの？」一冊の本を見せると夫は号泣し…w,https://www.youtube.com/watch?v=KejS7MR6J4s,1.1万回視聴 / 1 年前, 読書室【スカッとする話】,https://www.youtube.com/channel/UCjQd7ZVm5BPbGpB_V9B6kgQ,1 年前,0 回視聴,【スカッとする話】5年間、アメリカに単身赴任だった夫が金髪の愛人と隠し子を連れ帰宅   夫「新しい家族できたから離婚でw」息子「え？パパ何も知らないの？」一冊の本を見せると夫は号泣し…w,https://www.youtube.com/watch?v=zfCjj9-UtK8,100%
25,【スカッとする話】5歳の孫の七五三に行くと長男嫁「席は家族分しかありませんw」私（援助は全てやめるか…）絶縁して他人扱いした結果w,https://www.youtube.com/watch?v=_3WduSXY-_Q,5万回視聴 / 1 年前, 読書室【スカッとする話】,https://www.youtube.com/channel/UCjQd7ZVm5BPbGpB_V9B6kgQ,1 年前,2回視聴,【スカッとする話】5歳の孫の七五三に行くと長男嫁「席は家族分しかありませんw」私（援助は全てやめるか…）絶縁して他人扱いした結果w,https://www.youtube.com/watch?v=8LDVpvnxhis,100%
26,【スカッとする話】7歳の双子を残して夫が失踪。夫「20歳の愛人と再婚するw欠陥遺伝子のガキは任せるw」うずくまる娘を抱きしめた瞬間、2人同時にケタケタ笑いだし…,https://www.youtube.com/watch?v=GqmdD9S7kiQ,2.3万回視聴 / 1 年前, 読書室【スカッとする話】,https://www.youtube.com/channel/UCjQd7ZVm5BPbGpB_V9B6kgQ,1 年前,0 回視聴,【スカッとする話】7歳の双子を残して夫が失踪。夫「20歳の愛人と再婚するw欠陥遺伝子のガキは任せるw」うずくまる娘を抱きしめた瞬間、2人同時にケタケタ笑いだし…,https://www.youtube.com/watch?v=BhyUXLfdjo0,100%
27,【スカッと総集編】妊娠した私を捨て21歳の浮気相手と再婚した社長の夫「彼女が妊娠したから離婚w」20年後、公園で元夫と再会すると…【スカッと】【スカッとする話】【修羅場】,https://www.youtube.com/watch?v=zb8EIRbjwZc,2.9万回視聴 / 1 年前, 読書室【スカッとする話】,https://www.youtube.com/channel/UCjQd7ZVm5BPbGpB_V9B6kgQ,1 年前,2回視聴,【スカッとする話】40歳で妊娠した私を捨て21歳の浮気相手と再婚した社長の夫「彼女が妊娠したから離婚w」20年後、公園で元夫と再会すると、息子を見た夫が半狂乱になり…w,https://www.youtube.com/watch?v=EBiY08XxCU8,86%
28,【スカッとする話】私と夫の事が大嫌いな長男夫婦「俺達の結婚式は欠席しろ。嫌なら絶縁する」私「いいけど、アナタ達本当に大丈夫？後悔するよ？」長男「しねぇよw二度と連絡してくんなw」数ヶ月後w【修羅場】,https://www.youtube.com/watch?v=luo2hcOOZik,14万回視聴 / 3 年前,2chスカツイ【2chスカッと・2ch修羅場スレ・ゆっくり解説】,https://www.youtube.com/channel/UCUlFZ_7XbnI92laQPOcx_Ew,3 年前,"47,109回視聴",私と夫の事が大嫌いなエリート長男夫婦「低学歴は俺達の結婚式を欠席しろ！嫌なら絶縁な」私「いいけど、アナタ達本当に大丈夫？後悔するよ」長男「しねぇよw二度と連絡してくんなw」数ヶ月後【2ch】【総集編】,https://www.youtube.com/watch?v=6mriegEi-Xo,92%
29,【スカッとする話】長男と長男嫁に1ヶ月無視され続けた私。ある日突然、長男嫁が私に高級寿司を買って来た。私（なんか怪しい...）こっそり長男の皿と入れ替えると、長男がガタガタ震え始め...【修羅場】,https://www.youtube.com/watch?v=pocIWS2hdis,7.4万回視聴 / 3 年前,2chスカツイ【2chスカッと・2ch修羅場スレ・ゆっくり解説】,https://www.youtube.com/channel/UCUlFZ_7XbnI92laQPOcx_Ew,3 年前,"11,367回視聴",義母に2週間無視され続けた私。ある日、突然義母が高級寿司を買ってきた。私（なんか怪しい...）こっそり皿を取り替えると義母がガタガタ震え始めるw【2ch修羅場スレ・ゆっくり解説】,https://www.youtube.com/watch?v=Ar_5IjuQBEc,73%
30,【スカッとする話】ある日突然、激怒した夫が「毎月渡している仕送りの20万はどこだ！母さんボロボロだったぞ！」私「お義母さんの通帳見た？」夫「え？通帳？」夫が真実を知った結果ｗ【修羅場】【スカッと】,https://www.youtube.com/watch?v=jIAIebtJLxI,14万回視聴 / 3 年前,2ndchancemami,https://www.youtube.com/channel/UCkoo1uXapcq3mEdQhGx38kQ,1 年前,0 回視聴,【スカッと感動】ある日突然、激怒した夫が「毎月渡している仕送りの35万はどこだ！母さんボロボロだったぞ！」私「お義母さんの通帳見た？」夫「え？通帳？」夫が真実を知った結果,https://www.youtube.com/watch?v=bsPro4xZBUs,97%
31,【スカッと総集編】家のローン月18万を払ってると知らず同居の長男嫁に1年間無視された...ある日、私「あれ？なんで私の荷物が...」長男嫁「キレイにしておいてあげたw」私の荷物を勝手に捨てられた,https://www.youtube.com/watch?v=bPcGySAd3gA,20万回視聴 / 2 年前,2ndchancemami,https://www.youtube.com/channel/UCkoo1uXapcq3mEdQhGx38kQ,1 年前,1 回視聴,【スカッと感動】家のローン月18万を払ってると知らず同居の長男嫁に1年間無視された   ある日、私「あれ？なんで私の荷物が   」長男嫁「キレイにしておいてあげたw」私の荷物を勝手に捨てられ,https://www.youtube.com/watch?v=809FOjrB0gM,99%
32,【スカッとする話】夫の社長退任祝いで、夫「好きな人ができた。離婚してくれ」私「いいよ！はい、離婚届」離婚後、夫と再婚した20歳の新入社員に私「あ、言い忘れてたけど…」ある事実を告げると2人は発狂し..,https://www.youtube.com/watch?v=faMNblUzAj0,4.7万回視聴 / 3 年前,374 Chocontham,https://www.youtube.com/channel/UC3G5yZkOnkxx0y2IYkWi4tQ,2 年前,102回視聴,【スカッとする話】夫の社長退任祝いで、夫「好きな人ができた。離婚してくれ」私「いいよ！はい、離婚届」離婚後、夫と再婚した20歳の新入社員に私「あ、言い忘れてたけど…」ある事実を告げると2人は,https://www.youtube.com/watch?v=RjCBYX382TM,98%
33,【スカッとする話】私の里帰り中に夫と家を奪った親友から連絡「赤ちゃん出来たwもう帰ってくるなw」私「いいの？喜んで！」そのまま新居に引越した結果w,https://www.youtube.com/watch?v=BTIYCjXsOiY,17万回視聴 / 2 年前,374 Chocontham,https://www.youtube.com/channel/UC3G5yZkOnkxx0y2IYkWi4tQ,2 年前,6回視聴,【スカッとする話】私の里帰り中に夫と家を奪った親友から連絡「赤ちゃん出来たwもう帰ってくるなw」私「いいの？喜んで！」そのまま新居に引越した結果w,https://www.youtube.com/watch?v=RnalOOgGAW8,100%
34,【スカッとする話】給料日に3万しかくれない夫「同僚はこれで生活できてるって！1円もいれてないのに文句言うな！」私「毎月20万家に入れてるよ」夫「え？」結果w,https://www.youtube.com/watch?v=Ltedq0Li5TU,3.4万回視聴 / 3 年前,374 Chocontham,https://www.youtube.com/channel/UC3G5yZkOnkxx0y2IYkWi4tQ,2 年前,36回視聴,【スカッとする話】給料日に3万しかくれない夫「同僚はこれで生活できてるって！1円もいれてないのに文句言うな！」私「毎月20万家に入れてるよ」夫「え？」結果w,https://www.youtube.com/watch?v=rjXzALo63kM,100%
35,【スカッとする話】13年前に医者の婚約者を奪った親友と再会「36歳で独身とか賞味期限切れねw私の旦那はイケメンで天才よw」→私「じゃうちの夫も紹介するね」夫を呼ぶと親友が半狂乱にw,https://www.youtube.com/watch?v=YWd1vzAgHB8,8万回視聴 / 2 年前,420PotSmoker1,https://www.youtube.com/channel/UCjHZt-SBngt5Wrzuu1XGVZw,2 年前,477回視聴,【スカッとする話】13年前に医者の婚約者を奪った親友と再会「36歳で独身とか賞味期限切れねw私の旦那はイケメンで天才よw」→私「じゃうちの夫も紹介するね」夫を呼ぶと親友が半狂乱にw,https://www.youtube.com/watch?v=rbK3uBTt5fM,100%
36,【スカッとする話】父から相続した2億円の豪邸を勝手に自分名義に変更した夫「これで家は俺のw文句あるなら離婚ｗ」私「じゃあ離婚でいいけど、後悔しない？」夫「しねぇよw」3日後w,https://www.youtube.com/watch?v=oTP6l6MCmBU,5.5万回視聴 / 2 年前,468 Hopgiaykho,https://www.youtube.com/channel/UCrm5iwH2pv-QU9omTJpkqlw,2 年前,0 回視聴,【スカッとする話】父から相続した2億円の豪邸を勝手に自分名義に変更した夫「これで家は俺のw文句あるなら離婚ｗ」私「じゃあ離婚でいいけど、後悔しない？」夫「しねぇよw」3日後w,https://www.youtube.com/watch?v=F-KA7qv1lJw,100%
37,【スカッとする話】姑との同居を勝手に決めた夫「引越しは済んだか？」私「うん！私の荷物も全部実家に送り終わったとこ」夫「え？実家？」結果w【修羅場】,https://www.youtube.com/watch?v=McNVTi5SXBU,9.5万回視聴 / 3 年前,468 Ungthuphoi,https://www.youtube.com/channel/UChMTaakDMyRJ8dYWT6dyj6A,1 年前,60回視聴,【スカッとする話】姑との同居を勝手に決めた夫「引越しは済んだか？」私「うん！私の荷物も全部実家に送り終わったとこ」夫「え？実家？」結果w,https://www.youtube.com/watch?v=1l_YpUd0agM,100%
38,【スカッとする話】母に誘われ高級料亭へ行くと女性にプロポーズする夫「亡き妻の分まで君を幸せにする！」直後、普段温厚な母が立ち上がり、母「お隣いいですか？」結果w,https://www.youtube.com/watch?v=wjCku8hnE4A,2.1万回視聴 / 2 年前,468 Ungthuphoi,https://www.youtube.com/channel/UChMTaakDMyRJ8dYWT6dyj6A,1 年前,47回視聴,【スカッとする話】母に誘われ高級料亭へ行くと女性にプロポーズする夫「亡き妻の分まで君を幸せにする！」直後、普段温厚な母が立ち上がり、母「お隣いいですか？」結果w,https://www.youtube.com/watch?v=KXFghHJtNeI,100%
39,【スカッとする話】親族の集まりで工場勤務の63歳中卒夫を見下す高学歴エリートの長男嫁「低学歴の貧乏人は一族の恥wバカがうつると嫌なので絶縁でw」→1年後、私と夫が田舎に移住すると半狂乱の長男嫁から鬼電,https://www.youtube.com/watch?v=xvf5HdbnLO8,4.1万回視聴 / 2 年前,468 Ungthuphoi,https://www.youtube.com/channel/UChMTaakDMyRJ8dYWT6dyj6A,1 年前,63回視聴,【スカッとする話】親族の集まりで工場勤務の63歳中卒夫を見下す高学歴エリートの長男嫁「低学歴の貧乏人は一族の恥wバカがうつると嫌なので絶縁でw」→1年後、私と夫が田舎に移住すると半狂乱の長男,https://www.youtube.com/watch?v=W4mBMqccOb0,97%
40,【スカッとする話】ある日突然、大激怒の夫が「毎月仕送りした800万は！？長男夫婦がボロボロだったぞ！」私「長男嫁の通帳確認した？」夫「え？通帳？」真実を知ると...【スカッと】【修羅場】,https://www.youtube.com/watch?v=L1iFf6yo66k,1.4万回視聴 / 3 年前,567 Lenmoban,https://www.youtube.com/channel/UCvdGGJHSzUfvS64FqivkrYQ,2 年前,0 回視聴,【スカッとする話】ある日突然、大激怒の夫が「毎月仕送りした800万は！？長男夫婦がボロボロだったぞ！」私「長男嫁の通帳確認した？」夫「え？通帳？」真実を知ると,https://www.youtube.com/watch?v=I66VDpJ7e9M,100%
41,【スカッとする話】ある日突然、大激怒の夫が「毎月仕送りした800万は！？長男夫婦がボロボロだったぞ！」私「長男嫁の通帳確認した？」夫「え？通帳？」真実を知ると...【スカッと】【修羅場】,https://www.youtube.com/watch?v=L1iFf6yo66k,1.4万回視聴 / 3 年前,567 Lenmoban,https://www.youtube.com/channel/UCvdGGJHSzUfvS64FqivkrYQ,2 年前,0 回視聴,【スカッとする話】ある日突然、大激怒の夫が「毎月仕送りした800万は！？長男夫婦がボロボロだったぞ！」私「長男嫁の通帳確認した？」夫「え？通帳？」真実を知ると,https://www.youtube.com/watch?v=TdBw42EEfXU,100%
42,【スカッとする話】ある日突然、激怒した夫「息子夫婦への仕送り10万はどこだ！息子嫁さんガリガリだったぞ！」私「息子嫁の通帳見た？」夫「は？通帳？」結果ｗ【修羅場】【スカッと】,https://www.youtube.com/watch?v=MwADfvlYVM8,6.4万回視聴 / 3 年前,567 Lenmoban,https://www.youtube.com/channel/UCvdGGJHSzUfvS64FqivkrYQ,2 年前,0 回視聴,【スカッとする話】ある日突然、激怒した夫「息子夫婦への仕送り10万はどこだ！息子嫁さんガリガリだったぞ！」私「息子嫁の通帳見た？」夫「は？通帳？」結果,https://www.youtube.com/watch?v=lN7bPsXxN8c,100%
43,【スカッとする話】長男の海外主張中、癌で余命半年の私を奴隷扱いする長男嫁「家事も役立たずは出てけ！」私「はい...」泣きながら出て行くと長男とある人物がやってきて…【修羅場】【スカッと】,https://www.youtube.com/watch?v=i8zqcOBxHyo,3.7万回視聴 / 3 年前,567 Lenmoban,https://www.youtube.com/channel/UCvdGGJHSzUfvS64FqivkrYQ,2 年前,0 回視聴,【スカッとする話】長男の海外主張中、癌で余命半年の私を奴隷扱いする長男嫁「家事も役立たずは出てけ！」私「はい   」泣きながら出て行くと長男とある人物がやってきて…,https://www.youtube.com/watch?v=W5uMSrJbmJc,100%
